Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
1996-01-01,4.617049217224121,4.624903205705653,4.569925286334929,4.600219455979351,104121369
1996-01-02,4.581143856048584,4.6282683753213965,4.54748404172858,4.6058284991080605,168743308
1996-01-03,4.615927219390869,4.868378121911788,4.605829363111176,4.65631894421155,209323879
1996-01-04,4.573290824890137,4.586754933252271,4.511580702857746,4.572169040636393,216900264
1996-01-05,4.541874408721924,4.555338515711448,4.502604471296495,4.555338515711448,166708467
1996-01-08,4.360108852386475,4.536263705001163,4.31522880123662,4.532898053314589,186974245
1996-01-09,4.234445095062256,4.308497235356304,4.0897067663599085,4.231079442878392,388766555
1996-01-10,4.125610828399658,4.251275241384435,4.106537199211879,4.151417261077325,276606655
1996-01-11,4.254642009735107,4.274838323320286,4.0784871060872785,4.084097226494487,409645726
1996-01-12,4.209761619567871,4.318595969006558,4.181711319406049,4.28605763280692,374687924
1996-01-15,4.16600227355957,4.218736308837763,4.142440315186684,4.19741821805675,199981539
1996-01-16,4.173857688903809,4.196297571313749,4.137953397524814,4.151417506791937,217247573
1996-01-17,4.007800102233887,4.157027068441717,3.9730184989653092,4.1514169487424,299629901
1996-01-18,3.896721601486206,3.969651958978386,3.8552077945193153,3.905698272553818,377502810
1996-01-19,3.8282787799835205,3.8911112685076117,3.802472953966984,3.842864968316356,324535340
1996-01-22,3.89335560798645,3.94384578189359,3.8372550151538074,3.840621566210975,338613971
1996-01-23,3.728421449661255,3.9236499511831786,3.5230944933148187,3.9068198924467086,354919302
1996-01-24,3.6005120277404785,3.718322730213366,3.5455341195023995,3.6958825535944553,351185727
1996-01-25,3.4490416049957275,3.608365800582332,3.4277235133978223,3.5926578277318253,360855771
1996-01-26,3.4490416049957275,3.4490416049957275,3.4490416049957275,3.4490416049957275,0
1996-01-29,3.7205660343170166,3.7531046627328704,3.4120155008378648,3.4333329927839937,652902286
1996-01-30,4.054924964904785,4.241177717608045,3.7811559560150747,3.8372556591572877,1061936020
1996-01-31,3.966287136077881,4.168247891638084,3.865306458595824,4.016777324967932,731560842
1996-02-01,4.125610828399658,4.151417261077325,3.91579641180539,3.927016052644359,640422958
1996-02-02,4.573290824890137,4.622659222217961,4.235567230688779,4.235567230688779,818725675
1996-02-05,4.953649520874023,5.0535077780782105,4.679880576641973,4.824618885462254,1222482548
1996-02-06,4.53850793838501,5.1612209834911615,4.43416163872529,5.072582358342426,1242315590
1996-02-07,4.622658729553223,4.667538786275285,4.242298982593305,4.287179039315367,895441820
1996-02-08,5.026581287384033,5.10848772690774,4.622659509892921,4.669783442540115,821653997
1996-02-09,5.318302631378174,5.430502646002566,5.028825322911017,5.206102017349902,994440377
1996-02-12,4.9850664138793945,5.27342160198086,4.914379922054027,5.183661481701054,971599188
1996-02-13,5.284640789031982,5.478747482499307,4.894183234701353,4.936819118504665,1019034918
1996-02-14,5.288008213043213,5.496700865722143,5.247616782800191,5.419283058650522,622459505
1996-02-15,5.203857898712158,5.329522309406568,5.116341345101847,5.161221705851214,699136437
1996-02-16,5.111852645874023,5.16683115880852,5.072582707637792,5.116340981331748,495646793
1996-02-19,5.1634650230407715,5.277909787530914,5.133171155636673,5.2061012138267015,518231701
1996-02-20,4.890818119049072,5.182539568526313,4.8246199607287865,5.1612217715264865,639131752
1996-02-21,4.890818119049072,4.890818119049072,4.890818119049072,4.890818119049072,0
1996-02-22,5.148879051208496,5.183661253630071,4.960382447272104,5.00414072126711,613558303
1996-02-23,5.09390115737915,5.150000555977623,5.008628177393526,5.138780916019441,546094871
1996-02-26,5.105121612548828,5.256592170805894,5.072583572547456,5.1500013783557455,544960514
1996-02-27,5.04677677154541,5.161221537880769,4.960382604392891,5.134292722903723,542491536
1996-02-28,5.071461200714111,5.201613353334176,5.060240960197131,5.1443918649687195,427826248
1996-02-29,4.753933906555176,5.0445326629248735,4.723639738605259,5.026580818700617,697898447
1996-03-01,4.7808613777160645,4.851547867351168,4.679881320455686,4.790959832994941,723172202
1996-03-04,4.7314934730529785,4.824619540349353,4.676514960300334,4.802179361644384,673407539
1996-03-05,4.7314934730529785,4.7314934730529785,4.7314934730529785,4.7314934730529785,0
1996-03-06,4.89979362487793,4.932331957999182,4.770763275327326,4.813399463801896,543855566
1996-03-07,4.943552494049072,5.054631320695998,4.919990527582889,4.968237143951393,854410306
1996-03-08,4.917746543884277,4.936820172611624,4.819010350223379,4.880720171559534,646827174
1996-03-11,4.933454513549805,4.948040405910992,4.827986116107587,4.847059744809211,631091821
1996-03-12,5.187028408050537,5.3407431537843495,4.903161485914453,4.925601671346901,803011329
1996-03-13,5.098388195037842,5.12195135658439,4.9873099853657985,5.049020701254036,577715422
1996-03-14,5.09726619720459,5.147756369161715,5.060239831341216,5.093900545383007,597611484
1996-03-15,4.930088520050049,5.086047396584665,4.891940064159472,5.070339420419301,622444100
1996-03-18,4.705687999725342,4.891940771598653,4.6877361528125245,4.879599045428437,667319823
1996-03-19,4.416209697723389,4.775251326617527,4.31971738733138,4.689978655038402,1037292464
1996-03-20,4.416209697723389,4.416209697723389,4.416209697723389,4.416209697723389,0
1996-03-21,4.732615947723389,4.781983748673548,4.600219623301527,4.600219623301527,670459612
1996-03-22,4.5407514572143555,4.6439756515260155,4.454356717983735,4.6439756515260155,674824785
1996-03-25,4.5138258934021,4.624904445303015,4.448749500438472,4.5990986046764375,457166882
1996-03-26,4.484652519226074,4.577779194492544,4.342158045671313,4.488018771117881,532380354
1996-03-27,4.643976211547852,4.711296437604654,4.623780203671179,4.645098295235956,377229724
1996-03-28,4.704565048217773,4.72812701002788,4.640610466843206,4.656318441383277,359409115
1996-03-29,4.641732215881348,4.729248758404791,4.627146325262021,4.698954593662204,325958187
1996-04-01,4.685490131378174,4.701198704010566,4.6226582384633845,4.661928171535128,247509698
1996-04-02,4.697834014892578,4.75730027583304,4.650710079537749,4.695590146414611,367425238
1996-04-03,4.7371039390563965,4.85603705978974,4.725884297016639,4.803302404527701,297032084
1996-04-04,4.681004047393799,4.696712025158637,4.631635646315555,4.689979820615181,241840713
1996-04-05,4.681004047393799,4.681004047393799,4.681004047393799,4.681004047393799,0
1996-04-08,4.759543418884277,4.784227766591326,4.710175622575884,4.7404694907719005,228109392
1996-04-09,4.765152454376221,4.873987077197936,4.740468411988395,4.819009173508037,320184170
1996-04-10,4.76291036605835,4.845938594144149,4.743836135459104,4.824620495081317,285103129
1996-04-11,4.713541030883789,4.746079664636778,4.686613415838761,4.7180293663271415,216484333
1996-04-12,4.842572212219238,4.880720068270433,4.692223157630716,4.713541253483972,341108156
1996-04-15,4.967113971710205,5.06585014611518,4.9267213554502645,4.936819209813402,476612002
1996-04-16,4.978334426879883,5.043410498014328,4.936820019791827,4.981700678588407,388937409
1996-04-17,5.19039249420166,5.245370401085236,5.068093759418094,5.116340362736483,410008440
1996-04-18,5.475382328033447,5.503432025415648,5.3104473981212035,5.351961501698301,686239778
1996-04-19,5.5101637840271,5.621242285048556,5.465283430229611,5.520262537960724,657928468
1996-04-22,5.335132122039795,5.576362786987095,5.30708242109018,5.565143146368774,577856867
1996-04-23,5.299227714538574,5.357571875817744,5.217320992466653,5.285763308456469,570256675
1996-04-24,5.728954315185547,5.791786801519875,5.524748884449891,5.544945190622549,534899747
1996-04-25,5.437234401702881,5.89052453224775,5.340741779032357,5.767103693989839,620220200
1996-04-26,5.485481262207031,5.552801511891319,5.295862239247544,5.430502738616121,632532875
1996-04-29,5.440601348876953,5.458552895492752,5.335132640862344,5.430502592411529,421084526
1996-04-30,5.4899678230285645,5.610022389313163,5.396841467789627,5.430500982342084,429361131
1996-05-01,5.97018575668335,6.056580212888862,5.929793738004059,5.991504149494243,495470338
1996-05-02,5.974674701690674,6.004969171384836,5.834424391992625,5.924184518270915,506967956
1996-05-03,5.838911056518555,5.957843534448614,5.8119828465224455,5.923060738725426,493527926
1996-05-06,5.511285305023193,5.731198117069326,5.4821135275864386,5.6997821723209245,591063023
1996-05-07,5.578606128692627,5.620119627537196,5.482113527729595,5.503431318979806,548608662
1996-05-08,5.608901500701904,5.688564067093833,5.408062258486817,5.475383100147101,785659868
1996-05-09,5.472015380859375,5.618997550688189,5.441720920325645,5.503431325646654,609397594
1996-05-10,5.414794445037842,5.445088915274418,5.3082042557111615,5.340742294577079,606288615
1996-05-13,5.529238224029541,5.562898340833826,5.455186086940863,5.486602036117197,398370778
1996-05-14,5.682953834533691,5.7199802087561435,5.49221334165753,5.520263643323141,651015892
1996-05-15,5.695295333862305,5.744664030669464,5.476505147399069,5.593193486607656,917242481
1996-05-16,5.727832794189453,5.845643193160011,5.689684944720713,5.761492308777345,688543503
1996-05-17,5.614510536193848,5.6773430332378325,5.583094587373725,5.610022800392576,565289312
1996-05-20,5.438356399536133,5.551679080229696,5.421526339985865,5.542703008509301,326115037
1996-05-21,5.419281959533691,5.475382555435527,5.374401602692976,5.405818152183358,456241191
1996-05-22,5.4484543800354,5.502310209223071,5.431624321026046,5.47538259433112,319336904
1996-05-23,5.403573989868164,5.434989939986049,5.376645775736935,5.41255006124524,294687746
1996-05-24,5.700369834899902,5.717959939669515,5.67105278479293,5.701542592080924,236779521
1996-05-27,5.53267765045166,5.652290116391736,5.523296219155098,5.652290116391736,385864842
1996-05-28,5.353259086608887,5.4177557236180744,5.289933953904688,5.4177557236180744,545547298
1996-05-29,5.65815544128418,5.734379043134681,5.465836360638177,5.465836360638177,514643772
1996-05-30,5.554960250854492,5.715616756047166,5.518606646821575,5.699199403563293,528103408
1996-05-31,5.590139389038086,5.6405648263858,5.537369689765993,5.63470103920991,445949352
1996-06-03,5.761351108551025,5.781286106950436,5.664018499226276,5.699199345369254,488962489
1996-06-04,5.679261684417725,5.89737886693958,5.576066566058633,5.862199282474324,719201952
1996-06-05,5.642910957336426,5.746106743152646,5.592486135358294,5.746106743152646,333800656
1996-06-06,5.735550880432129,5.839918767081069,5.69919853488615,5.721478418681576,331038987
