Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
1996-01-01,1.1499704122543335,1.1692651993046137,1.128746100496624,1.1692651993046137,700000
1996-01-02,1.148041009902954,1.1673358910144487,1.1383936613520187,1.1499705348160283,824000
1996-01-03,1.151899814605713,1.1557587719140898,1.1383935100287934,1.148040857297336,568000
1996-01-04,1.1441818475723267,1.149970329272113,1.134534500745743,1.1518997618355118,564000
1996-01-05,1.1422525644302368,1.1499704797030244,1.1383936067938432,1.1441819972460299,378000
1996-01-08,1.1287461519241333,1.1383935918912276,1.1229577615477218,1.142252549477104,474000
1996-01-09,1.0920859575271606,1.12874609887234,1.0805090853136519,1.12874609887234,966000
1996-01-10,1.0959450006484985,1.1055924409167095,1.084368127529531,1.092086042942176,452000
1996-01-11,1.0920859575271606,1.1113808365544775,1.0805090853136519,1.0959449149316636,636000
1996-01-12,1.0901564359664917,1.0940153930564434,1.0805089972392152,1.0920858685090704,862000
1996-01-15,1.076650619506836,1.0862980634255084,1.0708622267595076,1.0901570225920085,362000
1996-01-16,1.0573556423187256,1.0805093933464398,1.0573556423187256,1.0766504348418209,716000
1996-01-17,1.0245541334152222,1.0785796278422726,1.0149067861279344,1.05735531660256,858000
1996-01-18,1.0187656879425049,1.024554077598572,1.003329767515138,1.024554077598572,660000
1996-01-19,0.9859645962715149,1.0149068232001712,0.9782466813578469,1.0187657806570052,852000
1996-01-22,0.9821056127548218,0.9994708748473915,0.972458173366327,0.9859645701092596,718000
1996-01-23,0.9763170480728149,1.0033297472671794,0.9685991340172823,0.9821055296168608,798000
1996-01-24,0.9512339234352112,0.9763171938637081,0.945445533031593,0.9763171938637081,898000
1996-01-25,0.9396570920944214,0.9454455747583178,0.9300097436610083,0.9512339654174036,780000
1996-01-26,0.9396570920944214,0.9396570920944214,0.9396570920944214,0.9396570920944214,0
1996-01-29,0.9589517116546631,0.9628106687476575,0.9242210978177132,0.939656926189691,622000
1996-01-30,0.9724583625793457,0.9840352368951929,0.9589519632084481,0.9589519632084481,904000
1996-01-31,0.9994710087776184,1.0168363652019659,0.9840351772914487,0.9724583036768214,688000
1996-02-01,1.072791337966919,1.0805092539806882,1.0033300018381786,0.9994710438312938,848000
1996-02-02,1.1248873472213745,1.1557590121041452,1.0805092829499823,1.0727913667292894,1638000
1996-02-05,1.1557589769363403,1.1962780818644578,1.138393711970587,1.1248873129929424,1812000
1996-02-06,1.148041009902954,1.176983239565384,1.1383936613520187,1.1557589255456273,1776000
1996-02-07,1.1055926084518433,1.1287463581983643,1.0901567752874959,1.1480411496537986,1172000
1996-02-08,1.1750534772872925,1.2155725690561499,1.1133100774478941,1.1055921639685675,1334000
1996-02-09,1.408521056175232,1.410450489181184,1.2927521316639838,1.1750538661516001,3440000
1996-02-12,1.3544954061508179,1.4644758357972882,1.3313416605425523,1.4085209045749103,5702000
1996-02-13,1.3313416242599487,1.3892259867031094,1.283104609554913,1.3892259867031094,2902000
1996-02-14,1.4316747188568115,1.4664053389351452,1.3853671334142221,1.3313417244034809,4928000
1996-02-15,1.4220271110534668,1.4548282943811393,1.4162387210572893,1.4316745503868293,2382000
1996-02-16,1.3737902641296387,1.4181683248082133,1.3544954751399998,1.422027282606141,2792000
1996-02-19,1.3564252853393555,1.4085212725711753,1.350636801422562,1.3737905530800751,2594000
1996-02-20,1.2985405921936035,1.3564250534463502,1.2753868444944307,1.3564250534463502,2722000
1996-02-21,1.2985405921936035,1.2985405921936035,1.2985405921936035,1.2985405921936035,0
1996-02-22,1.321694016456604,1.340988801484223,1.3120466699451905,1.298540274423461,1696000
1996-02-23,1.3197649717330933,1.3506366368480784,1.3120470554543469,1.32169440480037,1374000
1996-02-26,1.3062585592269897,1.3409891821352835,1.3023996011260683,1.3197649585826243,1294000
1996-02-27,1.3101176023483276,1.3216944774023764,1.273457452008094,1.308188169175065,1682000
1996-02-28,1.2831047773361206,1.3294122733459048,1.27538686133449,1.310117483341828,844000
1996-02-29,1.1827715635299683,1.2734571061605715,1.1576882950559377,1.2734571061605715,2550000
1996-03-01,1.2001370191574097,1.2155729428676856,1.1576884819673903,1.1827717544911727,1464000
1996-03-04,1.1827715635299683,1.1962778680892159,1.1769830815725768,1.2001368253925437,1294000
1996-03-05,1.1827715635299683,1.1827715635299683,1.1827715635299683,1.1827715635299683,0
1996-03-06,1.1962780952453613,1.2155729774306228,1.1885601791731835,1.1827717881214586,720000
1996-03-07,1.1808421611785889,1.2155728725104826,1.1673358552204602,1.1962779919906266,972000
1996-03-08,1.1769832372665405,1.1847011528941391,1.1576884481975438,1.1808421950803398,774000
1996-03-11,1.1557589769363403,1.17505385890578,1.1480410609504907,1.1769832918998342,648000
1996-03-12,1.140323281288147,1.155759115105171,1.1306759311549206,1.155759115105171,800000
1996-03-13,1.1885600090026855,1.1962779239698613,1.1576883491339833,1.1403229944554363,972000
1996-03-14,1.1847012042999268,1.2155729601547005,1.1750538553492227,1.1885601622811715,1058000
1996-03-15,1.1576882600784302,1.1962778319457925,1.1576882600784302,1.1962778319457925,1614000
1996-03-18,1.151899814605713,1.1673357358440202,1.1306755954120395,1.157688296570678,776000
1996-03-19,1.140323281288147,1.1576886403347122,1.1190990557921527,1.1519001566509148,1234000
1996-03-20,1.140323281288147,1.140323281288147,1.140323281288147,1.140323281288147,0
1996-03-21,1.1596176624298096,1.1634766192097428,1.1383933541377826,1.1403227865253558,1286000
1996-03-22,1.1557589769363403,1.1654064179210601,1.132605228978792,1.159618026934081,388000
1996-03-25,1.1673359870910645,1.176983336436017,1.149970629463403,1.1557590206694104,826000
1996-03-26,1.1750534772872925,1.1885597798737209,1.149970212477088,1.1673355638079659,1286000
